设备号,点播日期,二级目录,影片名称,观看开始时间,观看结束时间,用户号,名称关键字,观看时间,制片,语言,片长,类型
10579,20170701,热点专题,哥斯拉(高清)(史上最强怪兽重袭大银幕),2017-07-01 09:00:39,2017-07-01 09:26:16,11290,哥斯拉,25.61666666666667,日本,日语,96,剧情 / 科幻 / 恐怖
11184,20170701,精彩点,太行英雄传(03)(高清),2017-07-01 09:13:51,2017-07-01 10:59:14,11005,太行英雄传,45.0,大陆,国语,45,剧情 / 战争
10032,20170701,精彩点,爱·回家之开心速递(91),2017-07-01 09:18:17,2017-07-01 09:39:52,10721,爱·回家之开心速递,20.0,香港,粤语,20,剧情 / 喜剧 / 家庭
11240,20170701,精彩点,楚乔传(01)(高清),2017-07-01 09:30:52,2017-07-01 10:24:12,10801,楚乔传,45.0,大陆,国语,45,剧情 / 爱情 / 古装
10992,20170701,精彩点,老广的味道(01)(高清),2017-07-01 09:33:54,2017-07-01 10:11:52,10204,老广的味道,37.96666666666667,大陆,国语 / 粤语,43,纪录片
10684,20170701,精彩点,变形金刚3：月黑之时(高清)(英雄形象倒塌，擎天柱成阴谋家·),2017-07-01 09:36:48,2017-07-01 09:57:08,10770,变形金刚3,20.33333333333333,美国,英语 / 西班牙语 / 俄语 / 荷兰语,154,动作 / 科幻
10032,20170701,精彩点,爱·回家之开心速递(92),2017-07-01 09:39:51,2017-07-01 10:02:14,10721,爱·回家之开心速递,20.0,香港,粤语,20,剧情 / 喜剧 / 家庭
10718,20170701,精彩点,变形金刚3：月黑之时(高清)(英雄形象倒塌，擎天柱成阴谋家·),2017-07-01 09:50:09,2017-07-01 10:34:50,10925,变形金刚3,44.68333333333333,美国,英语 / 西班牙语 / 俄语 / 荷兰语,154,动作 / 科幻
10313,20170701,精彩点,左轮手枪(18)(高清),2017-07-01 09:51:53,2017-07-01 10:33:28,10076,左轮手枪,41.58333333333334,大陆,国语,45,剧情 / 战争
10182,20170701,精彩点,05月21日 小公主苏菲亚2,2017-07-01 09:56:30,2017-07-01 10:54:03,11033,小公主苏菲亚2,30.0,美国,英语,30,动画 / 家庭 / 儿童 / 奇幻
10684,20170701,精彩点,变形金刚3：月黑之时(高清)(英雄形象倒塌，擎天柱成阴谋家·),2017-07-01 10:01:47,2017-07-01 11:21:42,10770,变形金刚3,79.91666666666667,美国,英语 / 西班牙语 / 俄语 / 荷兰语,154,动作 / 科幻
10058,20170701,精彩点,大军师司马懿之军师联盟(17)(高清),2017-07-01 10:02:05,2017-07-01 10:32:42,10138,大军师司马懿之军师联盟,30.61666666666667,大陆,国语,45,剧情 / 爱情 / 战争 / 古装
10032,20170701,今日上线,爱·回家之开心速递(93),2017-07-01 10:02:20,2017-07-01 10:23:35,10721,爱·回家之开心速递,20.0,香港,粤语,20,剧情 / 喜剧 / 家庭
10992,20170701,精彩点,老广的味道(02)(高清),2017-07-01 10:11:50,2017-07-01 10:48:24,10204,老广的味道,36.56666666666667,大陆,国语 / 粤语,43,纪录片
11166,20170701,精彩点,射雕英雄传(32),2017-07-01 10:15:00,2017-07-01 10:56:59,10675,射雕英雄传,41.98333333333333,大陆,国语,45,剧情 / 武侠 / 古装
10797,20170701,精彩点,大军师司马懿之军师联盟(13)(高清),2017-07-01 10:15:07,2017-07-01 10:59:33,10903,大军师司马懿之军师联盟,44.43333333333333,大陆,国语,45,剧情 / 爱情 / 战争 / 古装
10652,20170701,精彩点,06月24日 跨界歌王 第二季：张继科低吟《成都》(高清),2017-07-01 10:15:10,2017-07-01 12:03:39,11002,跨界歌王 第二季,100.0,大陆,国语,100,音乐 / 真人秀
10396,20170701,精彩点,大军师司马懿之军师联盟(01)(高清),2017-07-01 10:16:37,2017-07-01 10:22:18,10395,大军师司马懿之军师联盟,5.683333333333334,大陆,国语,45,剧情 / 爱情 / 战争 / 古装
10396,20170701,精彩点,大军师司马懿之军师联盟(01)(高清),2017-07-01 10:22:33,2017-07-01 10:44:58,10395,大军师司马懿之军师联盟,22.41666666666667,大陆,国语,45,剧情 / 爱情 / 战争 / 古装
10032,20170701,精彩点,赌城群英会(04),2017-07-01 10:23:34,2017-07-01 11:01:18,10721,赌城群英会,37.73333333333333,香港,粤语 / 国语,40,剧情 / 动作 / 爱情 / 悬疑 / 犯罪
11240,20170701,精彩点,楚乔传(02)(高清),2017-07-01 10:24:10,2017-07-01 11:07:39,10801,楚乔传,43.48333333333333,大陆,国语,45,剧情 / 爱情 / 古装
10421,20170701,精彩点,欢乐颂2(13)(高清),2017-07-01 10:30:53,2017-07-01 11:09:30,11163,欢乐颂2,38.61666666666667,大陆,国语,45,剧情 / 爱情
10781,20170701,精彩点,变形金刚3：月黑之时(高清)(英雄形象倒塌，擎天柱成阴谋家·),2017-07-01 10:33:34,2017-07-01 11:54:00,10944,变形金刚3,80.43333333333334,美国,英语 / 西班牙语 / 俄语 / 荷兰语,154,动作 / 科幻
10718,20170701,精彩点,变形金刚3：月黑之时(高清)(英雄形象倒塌，擎天柱成阴谋家·),2017-07-01 10:34:19,2017-07-01 12:52:03,10925,变形金刚3,137.7333333333333,美国,英语 / 西班牙语 / 俄语 / 荷兰语,154,动作 / 科幻
10313,20170701,精彩点,左轮手枪(19)(高清),2017-07-01 10:51:21,2017-07-01 12:26:23,10076,左轮手枪,45.0,大陆,国语,45,剧情 / 战争
11184,20170701,精彩点,太行英雄传(03)(高清),2017-07-01 10:59:13,2017-07-01 11:43:12,11005,太行英雄传,43.98333333333333,大陆,国语,45,剧情 / 战争
10797,20170701,精彩点,大军师司马懿之军师联盟(14)(高清),2017-07-01 10:59:32,2017-07-01 11:13:59,10903,大军师司马懿之军师联盟,14.45,大陆,国语,45,剧情 / 爱情 / 战争 / 古装
11196,20170701,精彩点,欢乐颂2(09)(高清),2017-07-01 11:00:20,2017-07-01 11:40:53,11054,欢乐颂2,40.55,大陆,国语,45,剧情 / 爱情
10182,20170701,精彩点,欢乐颂2(30)(高清),2017-07-01 11:01:06,2017-07-01 11:43:55,11033,欢乐颂2,42.81666666666667,大陆,国语,45,剧情 / 爱情
10032,20170701,精彩点,赌城群英会(05),2017-07-01 11:05:15,2017-07-01 11:44:48,10721,赌城群英会,39.55,香港,粤语 / 国语,40,剧情 / 动作 / 爱情 / 悬疑 / 犯罪
10779,20170701,精彩点,上古情歌(10)(高清),2017-07-01 11:05:27,2017-07-01 13:02:21,10696,上古情歌,35.0,大陆,国语,35,剧情 / 爱情 / 奇幻 / 古装
11002,20170701,精彩点,不懂撒娇的女人(24),2017-07-01 11:06:15,2017-07-01 11:47:44,11101,不懂撒娇的女人,41.48333333333333,香港,粤语 / 国语 / 闽南语,45,剧情 / 喜剧 / 爱情
10136,20170701,精彩点,大军师司马懿之军师联盟(02)(高清),2017-07-01 11:07:37,2017-07-01 11:53:39,10102,大军师司马懿之军师联盟,45.0,大陆,国语,45,剧情 / 爱情 / 战争 / 古装
11240,20170701,精彩点,楚乔传(03)(高清),2017-07-01 11:07:38,2017-07-01 11:45:51,10801,楚乔传,38.21666666666667,大陆,国语,45,剧情 / 爱情 / 古装
10421,20170701,精彩点,欢乐颂2(14)(高清),2017-07-01 11:09:29,2017-07-01 11:20:19,11163,欢乐颂2,10.83333333333333,大陆,国语,45,剧情 / 爱情
10266,20170701,精彩点,楚乔传(31)(高清),2017-07-01 11:16:08,2017-07-01 12:14:53,10869,楚乔传,45.0,大陆,国语,45,剧情 / 爱情 / 古装
10421,20170701,精彩点,欢乐颂2(14)(高清),2017-07-01 11:20:13,2017-07-01 11:54:27,11163,欢乐颂2,34.23333333333333,大陆,国语,45,剧情 / 爱情
10684,20170701,热点专题,黑夜传说2(高清)(吸血鬼部落女英雄，登场化解世纪之谜),2017-07-01 11:21:40,2017-07-01 11:57:59,10770,黑夜传说2,36.31666666666667,美国,英语 / 法语 / 匈牙利语,106,动作 / 惊悚 / 奇幻
10684,20170701,热点专题,黑夜传说2(高清),2017-07-01 11:21:40,2017-07-01 11:57:59,10770,黑夜传说2,36.31666666666667,美国,英语 / 法语 / 匈牙利语,106,动作 / 惊悚 / 奇幻
10119,20170701,精彩点,06月29日 今晚80后脱口秀：老好人(高清),2017-07-01 11:34:31,2017-07-01 12:10:10,10396,今晚80后脱口秀,35.0,大陆,国语 / 英语 / 韩语 / 上海话 / 日语 / 四川话 / 河南话 / 粤语 / 法语 / 东北话 / 西班牙语 / 泰语,35,脱口秀
11196,20170701,精彩点,欢乐颂2(10)(高清),2017-07-01 11:40:52,2017-07-01 12:25:41,11054,欢乐颂2,44.81666666666667,大陆,国语,45,剧情 / 爱情
11229,20170701,精彩点,05月16日 熊熊乐园(高清),2017-07-01 11:42:42,2017-07-01 12:58:49,10172,熊熊乐园,13.0,大陆,国语,13,动画 / 儿童 / 冒险
10051,20170701,精彩点,美国队长3(高清)(英雄内战，你撑边队·),2017-07-01 11:44:10,2017-07-01 12:35:12,11035,美国队长3,51.03333333333333,美国,科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语,148,动作 / 科幻 / 冒险
10051,20170701,精彩点,美国队长3(高清),2017-07-01 11:44:10,2017-07-01 12:35:12,11035,美国队长3,51.03333333333333,美国,科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语,148,动作 / 科幻 / 冒险
10032,20170701,精彩点,赌城群英会(06),2017-07-01 11:44:53,2017-07-01 11:50:18,10721,赌城群英会,5.416666666666667,香港,粤语 / 国语,40,剧情 / 动作 / 爱情 / 悬疑 / 犯罪
11002,20170701,精彩点,不懂撒娇的女人(25),2017-07-01 11:47:42,2017-07-01 12:30:14,11101,不懂撒娇的女人,42.53333333333333,香港,粤语 / 国语 / 闽南语,45,剧情 / 喜剧 / 爱情
10032,20170701,精彩点,赌城群英会(06),2017-07-01 11:50:23,2017-07-01 12:31:22,10721,赌城群英会,40.0,香港,粤语 / 国语,40,剧情 / 动作 / 爱情 / 悬疑 / 犯罪
10797,20170701,精彩点,大军师司马懿之军师联盟(14)(高清),2017-07-01 11:53:33,2017-07-01 12:03:14,10903,大军师司马懿之军师联盟,9.683333333333334,大陆,国语,45,剧情 / 爱情 / 战争 / 古装
10408,20170701,精彩点,欢乐颂2(30)(高清),2017-07-01 11:55:58,2017-07-01 12:38:33,10389,欢乐颂2,42.58333333333334,大陆,国语,45,剧情 / 爱情
10781,20170701,动漫剧场,博人传 火影忍者新时代(03)(高清),2017-07-01 11:56:05,2017-07-01 12:43:09,10944,博人传,24.0,日本,日语,24,动画 / 冒险
10421,20170701,精彩点,欢乐颂2(15)(高清),2017-07-01 11:56:18,2017-07-01 12:35:08,11163,欢乐颂2,38.83333333333334,大陆,国语,45,剧情 / 爱情
11240,20170701,精彩点,楚乔传(03)(高清),2017-07-01 12:00:43,2017-07-01 12:16:44,10801,楚乔传,16.01666666666667,大陆,国语,45,剧情 / 爱情 / 古装
10112,20170701,精彩点,龙珠传奇(09)(高清),2017-07-01 12:01:56,2017-07-01 12:27:22,10450,龙珠传奇,25.43333333333333,大陆,国语,35,剧情 / 爱情 / 古装
10119,20170701,精彩点,06月29日 今晚80后脱口秀：老好人(高清),2017-07-01 12:10:09,2017-07-01 13:40:49,10396,今晚80后脱口秀,35.0,大陆,国语 / 英语 / 韩语 / 上海话 / 日语 / 四川话 / 河南话 / 粤语 / 法语 / 东北话 / 西班牙语 / 泰语,35,脱口秀
11240,20170701,精彩点,楚乔传(05)(高清),2017-07-01 12:16:42,2017-07-01 13:16:02,10801,楚乔传,45.0,大陆,国语,45,剧情 / 爱情 / 古装
11309,20170701,精彩点,06月03日 旅途的花样：林志玲带队首当团长(高清),2017-07-01 12:24:05,2017-07-01 14:00:47,10163,旅途的花样,90.0,大陆,国语,90,真人秀
11196,20170701,精彩点,欢乐颂2(11)(高清),2017-07-01 12:25:40,2017-07-01 13:02:07,11054,欢乐颂2,36.45,大陆,国语,45,剧情 / 爱情
10112,20170701,精彩点,龙珠传奇(10)(高清),2017-07-01 12:27:21,2017-07-01 12:56:46,10450,龙珠传奇,29.41666666666667,大陆,国语,35,剧情 / 爱情 / 古装
11002,20170701,精彩点,不懂撒娇的女人(26),2017-07-01 12:30:23,2017-07-01 13:12:33,11101,不懂撒娇的女人,42.16666666666666,香港,粤语 / 国语 / 闽南语,45,剧情 / 喜剧 / 爱情
10421,20170701,精彩点,欢乐颂2(16)(高清),2017-07-01 12:36:57,2017-07-01 13:20:26,11163,欢乐颂2,43.48333333333333,大陆,国语,45,剧情 / 爱情
10408,20170701,精彩点,欢乐颂2(31)(高清),2017-07-01 12:46:06,2017-07-01 13:03:36,10389,欢乐颂2,17.5,大陆,国语,45,剧情 / 爱情
10112,20170701,精彩点,龙珠传奇(11)(高清),2017-07-01 12:56:54,2017-07-01 13:38:15,10450,龙珠传奇,35.0,大陆,国语,35,剧情 / 爱情 / 古装
11229,20170701,精彩点,05月16日 熊熊乐园(高清),2017-07-01 12:58:48,2017-07-01 14:35:29,10172,熊熊乐园,13.0,大陆,国语,13,动画 / 儿童 / 冒险
11247,20170701,精彩点,06月19日 舞法天女朵法拉,2017-07-01 12:59:38,2017-07-01 13:18:20,10847,舞法天女朵法拉,18.7,大陆,国语,24,喜剧 / 音乐 / 歌舞 / 儿童
11196,20170701,精彩点,欢乐颂2(12)(高清),2017-07-01 13:05:12,2017-07-01 13:45:36,11054,欢乐颂2,40.4,大陆,国语,45,剧情 / 爱情
10546,20170701,精彩点,变形金刚3：月黑之时(高清)(英雄形象倒塌，擎天柱成阴谋家·),2017-07-01 13:09:53,2017-07-01 13:39:56,10307,变形金刚3,30.05,美国,英语 / 西班牙语 / 俄语 / 荷兰语,154,动作 / 科幻
10272,20170701,精彩点,05月31日 金星秀：金星的玩具靠自己动手(高清),2017-07-01 13:14:33,2017-07-01 13:52:19,11120,金星秀,37.76666666666667,大陆,国语,60,脱口秀
11240,20170701,精彩点,楚乔传(06)(高清),2017-07-01 13:16:01,2017-07-01 13:40:58,10801,楚乔传,24.95,大陆,国语,45,剧情 / 爱情 / 古装
11247,20170701,精彩点,06月20日 舞法天女朵法拉,2017-07-01 13:18:30,2017-07-01 14:08:24,10847,舞法天女朵法拉,24.0,大陆,国语,24,喜剧 / 音乐 / 歌舞 / 儿童
10112,20170701,精彩点,龙珠传奇(11)(高清),2017-07-01 13:38:45,2017-07-01 15:21:24,10450,龙珠传奇,35.0,大陆,国语,35,剧情 / 爱情 / 古装
10119,20170701,精彩点,06月22日 今晚80后脱口秀：我乐意(高清),2017-07-01 13:40:57,2017-07-01 14:10:42,10396,今晚80后脱口秀,29.75,大陆,国语 / 英语 / 韩语 / 上海话 / 日语 / 四川话 / 河南话 / 粤语 / 法语 / 东北话 / 西班牙语 / 泰语,35,脱口秀
11196,20170701,精彩点,欢乐颂2(13)(高清),2017-07-01 13:46:15,2017-07-01 14:28:27,11054,欢乐颂2,42.2,大陆,国语,45,剧情 / 爱情
10356,20170701,精彩点,极限挑战之皇家宝藏(高清)(黄磊离开厨房去寻宝),2017-07-01 13:48:22,2017-07-01 15:58:32,10782,极限挑战之皇家宝藏,101.0,大陆,国语,101,喜剧 / 悬疑
10356,20170701,精彩点,极限挑战之皇家宝藏(高清),2017-07-01 13:48:22,2017-07-01 15:58:32,10782,极限挑战之皇家宝藏,101.0,大陆,国语,101,喜剧 / 悬疑
11309,20170701,精彩点,06月10日 旅途的花样：花样团沙漠遇暴雨集体失联(高清),2017-07-01 14:03:31,2017-07-01 14:57:18,10163,旅途的花样,53.78333333333333,大陆,国语,90,真人秀
10234,20170701,精彩点,汽车旅馆疯劫案(高清)(父女搭档，除暴安良),2017-07-01 14:05:19,2017-07-01 15:18:42,10738,汽车旅馆疯劫案,73.38333333333334,美国,英语,90,剧情 / 惊悚 / 犯罪
10684,20170701,精彩点,楚乔传(32)(高清),2017-07-01 14:17:45,2017-07-01 14:29:02,10770,楚乔传,11.28333333333333,大陆,国语,45,剧情 / 爱情 / 古装
11196,20170701,精彩点,欢乐颂2(14)(高清),2017-07-01 14:28:25,2017-07-01 15:08:39,11054,欢乐颂2,40.23333333333333,大陆,国语,45,剧情 / 爱情
10408,20170701,精彩点,我的一九九七(06)(高清),2017-07-01 14:31:49,2017-07-01 14:43:11,10389,我的一九九七,11.36666666666667,大陆,国语,45,剧情
11229,20170701,精彩点,05月16日 熊熊乐园(高清),2017-07-01 14:35:28,2017-07-01 14:39:46,10172,熊熊乐园,4.3,大陆,国语,13,动画 / 儿童 / 冒险
11229,20170701,精彩点,05月17日 熊熊乐园(高清),2017-07-01 14:39:56,2017-07-01 14:53:34,10172,熊熊乐园,13.0,大陆,国语,13,动画 / 儿童 / 冒险
10150,20170701,精彩点,大秦帝国之崛起(34)(高清),2017-07-01 14:51:16,2017-07-01 15:39:22,10257,大秦帝国之崛起,45.0,大陆,国语,45,剧情 / 历史
10438,20170701,精彩点,女管家(01)(高清),2017-07-01 14:52:12,2017-07-01 15:31:36,10523,女管家,39.4,大陆,国语,45,剧情 / 家庭
10477,20170701,精彩点,深夜食堂(19)(高清),2017-07-01 14:56:46,2017-07-01 15:34:17,10019,深夜食堂,37.51666666666667,大陆,国语,45,剧情
10487,20170701,热点专题,哆啦A梦：新·大雄的日本诞生(高清)(穿越7万年，决战精灵王),2017-07-01 15:00:11,2017-07-01 15:45:11,10799,哆啦A梦,23.0,日本,日语,23,喜剧 / 科幻 / 动画 / 家庭 / 奇幻
11300,20170701,精彩点,变形金刚3：月黑之时(高清)(英雄形象倒塌，擎天柱成阴谋家·),2017-07-01 15:04:54,2017-07-01 16:15:23,10855,变形金刚3,70.48333333333333,美国,英语 / 西班牙语 / 俄语 / 荷兰语,154,动作 / 科幻
11196,20170701,精彩点,欢乐颂2(15)(高清),2017-07-01 15:08:46,2017-07-01 15:48:36,11054,欢乐颂2,39.83333333333334,大陆,国语,45,剧情 / 爱情
11092,20170701,精彩点,三生三世十里桃花(28)(高清),2017-07-01 15:13:41,2017-07-01 15:31:44,10965,三生三世十里桃花,18.05,大陆,国语,45,剧情 / 爱情
10553,20170701,精彩点,赌城群英会(05),2017-07-01 15:14:06,2017-07-01 16:05:46,10794,赌城群英会,40.0,香港,粤语 / 国语,40,剧情 / 动作 / 爱情 / 悬疑 / 犯罪
10234,20170701,今日上线,杀人的海浪(上)(字幕调整)(高清),2017-07-01 15:18:40,2017-07-01 15:27:38,10738,杀人的海浪,8.966666666666667,美国,英语,60,纪录片
10112,20170701,精彩点,龙珠传奇(11)(高清),2017-07-01 15:21:23,2017-07-01 15:41:13,10450,龙珠传奇,19.83333333333333,大陆,国语,35,剧情 / 爱情 / 古装
10442,20170701,精彩点,女管家(23)(高清),2017-07-01 15:27:43,2017-07-01 16:09:12,10887,女管家,41.48333333333333,大陆,国语,45,剧情 / 家庭
11092,20170701,精彩点,三生三世十里桃花(29)(高清),2017-07-01 15:31:43,2017-07-01 15:39:18,10965,三生三世十里桃花,7.583333333333333,大陆,国语,45,剧情 / 爱情
