设备号,节目,类型,完整度,调整系数,喜爱度,观看次数
10781,博人传,动画 / 冒险,1.0,1.207800377437618,0.2597,1
11309,旅途的花样,真人秀,0.5594444444444445,1.072738772928526,0.1784,6
11247,舞法天女朵法拉,喜剧 / 音乐 / 歌舞 / 儿童,0.8895833333333334,1.3397245947359246,0.2563,2
10546,变形金刚3,动作 / 科幻,0.19512987012987013,0.42014570251177397,0.0176,1
10272,金星秀,脱口秀,0.8136111111111112,1.1717904159425911,0.3376,4
10356,极限挑战之皇家宝藏,喜剧 / 悬疑,1.0,1.8700625411454908,0.4022,2
10234,汽车旅馆疯劫案,剧情 / 惊悚 / 犯罪,0.8153703703703704,1.4201698742070745,0.249,1
10684,楚乔传,剧情 / 爱情 / 古装,0.3737962962962963,0.5717388666677825,0.053,8
10408,我的一九九七,剧情,0.5760185185185185,0.7829472820860907,0.118,12
10150,大秦帝国之崛起,剧情 / 历史,1.0,1.2292982755676967,0.2644,1
10438,女管家,剧情 / 家庭,0.8755555555555555,1.0773013416986372,0.2028,1
10477,深夜食堂,剧情,0.7296064814814814,1.11998551075132,0.1997,16
10487,哆啦A梦,喜剧 / 科幻 / 动画 / 家庭 / 奇幻,1.0,1.042296072507553,0.2241,1
11300,变形金刚3,动作 / 科幻,0.4576839826839827,0.9854665423861854,0.097,1
11092,三生三世十里桃花,剧情 / 爱情,0.469640522875817,0.6839540890914643,0.0892,34
10553,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.7187326388888887,0.8870966604476713,0.1858,24
10234,杀人的海浪,纪录片,0.14944444444444444,0.5819361817198485,0.0187,1
10442,女管家,剧情 / 家庭,0.7918814814814814,0.9743470611924799,0.1686,25
10438,夜市人生,剧情,0.2807539682539683,0.816974595842956,0.0595,2
10501,熊出没之春日对对碰,喜剧 / 动画 / 儿童 / 冒险,1.0,1.0076095512988716,0.2488,11
10487,欢乐颂2,剧情 / 爱情,0.95,1.237644236734356,0.2529,1
11145,变形金刚,动作 / 科幻 / 动画 / 惊悚 / 家庭 / 奇幻 / 冒险,0.6102777777777778,0.896734693877551,0.1177,2
10202,爱·回家之开心速递,剧情 / 喜剧 / 家庭,0.9030154639175256,0.9817330713862292,0.6202,97
10641,极限挑战之皇家宝藏,喜剧 / 悬疑,0.34471947194719477,0.6446469716919027,0.0478,2
10280,叶问,剧情 / 动作 / 传记 / 历史,0.3572562358276644,0.8488136542895934,0.1136,7
10501,疯狂小糖,动画,0.9563888888888888,0.9853897917015692,0.3042,12
10045,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.4642328042328043,0.5945194149778328,0.0678,7
10501,阿优,动画,0.9375,0.9427374301675977,0.2015,4
10641,楚乔传,剧情 / 爱情 / 古装,0.6671345029239766,1.0204133331336815,0.182,19
10501,新大头儿子和小头爸爸,动画,0.9295833333333333,0.9591573516766984,0.2565,4
10329,新葫芦兄弟,动画 / 儿童,0.9383333333333334,0.9918405192396846,0.2015,3
10501,舞法天女朵法拉,喜剧 / 音乐 / 歌舞 / 儿童,0.40162037037037024,0.6048457381906919,0.0782,3
10542,三生三世十里桃花,剧情 / 爱情,0.7627639579878386,1.1108401057106385,0.2676,67
11145,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.86609375,1.06897729654709,0.2065,8
10349,猪猪侠之变身战队,动画 / 儿童 / 冒险,1.0,1.0,0.2151,2
10352,寰宇视野,纪录片,0.6206666666666666,0.8302805789943061,0.1108,1
10652,他是龙,爱情 / 奇幻 / 冒险,0.9537383177570093,2.3261468325576975,0.4771,1
10339,爱·回家之开心速递,剧情 / 喜剧 / 家庭,0.9075,0.9866085331672376,0.4096,4
10352,时代,生活,0.9625,1.203510740621995,0.5844,4
11265,美国司法,纪录片,0.3,0.6273234200743495,0.0405,1
10545,蝙蝠侠无极限,科幻 / 剧情,1.0,1.0,0.2151,1
11306,太行英雄传,剧情 / 战争,0.336074074074074,0.4682352564692326,0.0338,5
11247,欢乐喜剧人 第三季,喜剧,0.5489506172839506,0.9708939254989299,0.1146,3
10454,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.7022685185185186,0.8993596854426604,0.1617,48
10684,魔戒3,剧情 / 动作 / 奇幻 / 冒险,0.1849502487562189,0.6899876263147041,0.0274,2
10425,神奇阿呦,动画,0.9116666666666665,1.0282635828727165,0.2198,20
10182,变形金刚3,动作 / 科幻,0.7964285714285715,1.7148376177394036,0.2937,1
10198,超级飞侠,动画 / 冒险,1.0,1.0968749999999998,0.2359,1
10079,白鹿原,剧情 / 历史,0.7651746031746034,0.998313194261193,0.1715,35
10546,巨神战击队第三季,动作,0.8584027777777777,1.2831361034492983,0.5612,6
10501,熊熊乐园,动画 / 儿童 / 冒险,0.864697802197802,0.933882606014069,0.4048,28
10546,猪猪侠之光明守卫者,动画 / 儿童 / 冒险,1.0,1.0844142036997662,0.5881,2
10452,奔跑吧,剧情 / 喜剧 / 战争,0.5725530741659774,0.9490268461487682,0.1518,13
10396,楚乔传,剧情 / 爱情 / 古装,0.5824338624338624,0.8908597536047208,0.1256,7
10501,聪明伦文叙,动画,0.9283653846153846,0.9686859002943013,0.4155,8
10546,熊出没之秋日团团转,喜剧 / 动画,1.0,1.0245183887915936,0.2203,1
11235,夏至未至,剧情 / 爱情,0.8548148148148148,1.3057129656694042,0.2409,3
11145,变形金刚2,动作 / 科幻,0.3314444444444445,0.808740798980601,0.0578,4
10501,棉花糖和云朵妈妈,儿童,0.8510256410256412,0.9400613353127322,0.277,13
10037,王牌对王牌 第二季,真人秀,0.7072499999999999,1.4739492879472038,0.2277,2
10550,变形金刚3,动作 / 科幻,0.5283008658008657,1.1375159438775508,0.1306,2
10413,小济公,动画 / 儿童,1.0,1.067097817299919,0.232,1
10780,不懂撒娇的女人,剧情 / 喜剧 / 爱情,0.8647685185185185,1.051531583229218,0.1977,8
10255,三生三世十里桃花,剧情 / 爱情,0.6838201058201056,0.9958713841699084,0.1548,35
11172,三生三世十里桃花,剧情 / 爱情,0.31172839506172845,0.45398107723503517,0.0308,6
11145,踩过界,剧情 / 喜剧 / 冒险,0.2456417624521073,0.6785533227283743,0.0362,3
11085,极限挑战之皇家宝藏,喜剧 / 悬疑,0.18580858085808588,0.3474736668861094,0.014,1
10396,反击,剧情,0.42807017543859655,0.9534950039831988,0.1033,19
11232,射雕英雄传,剧情 / 武侠 / 古装,0.8670370370370369,1.1353323870357235,0.2384,13
11232,爱·回家之开心速递,剧情 / 喜剧 / 家庭,0.9716185897435897,1.0563164646004881,1.6834,52
11235,罗密欧与朱丽叶,剧情 / 爱情 / 犯罪,0.3244444444444444,0.6514827554150784,0.0459,2
11232,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.9240598290598293,1.1405220022845592,0.2892,39
11235,杀人的海浪,纪录片,0.29259259259259257,1.1393546060933837,0.0725,3
10501,超级飞侠三,动画,0.9912393162393163,1.0848820671420254,0.2509,6
10486,飞机总动员2,动画 / 短片,1.0,1.0,0.224,3
10656,白鹿原,剧情 / 历史,0.8354320987654321,1.0899772204234248,0.2105,15
11232,天天向上,脱口秀,1.0,1.4316012725344642,0.3667,6
10718,超人钢铁之躯,动作 / 科幻 / 冒险,0.9730769230769231,1.4298681281041272,0.3025,1
10072,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,1.0,1.2806492982768451,0.2784,1
10393,金星秀,脱口秀,0.8568981481481481,1.2341338800888484,0.337,6
10356,变形金刚3,动作 / 科幻,0.532142857142857,1.1457883634222918,0.1325,2
10548,星际小蚂蚁,科幻 / 动画 / 儿童 / 奇幻 / 冒险,0.4843434343434343,1.0094004065040652,0.1452,24
10272,奔跑吧兄弟 第二季,真人秀,0.7651234567901235,1.4141893459977146,0.2451,6
11168,年代秀,脱口秀,0.3262037037037037,0.5377133342583599,0.0397,2
10339,小屁孩日记3,喜剧 / 家庭,0.9585106382978723,1.5406647429731755,0.321,2
10413,魔幻陀螺,动画,1.0,1.165954139137194,0.2679,4
10457,深夜食堂,剧情,0.8992592592592593,1.3804117237750968,0.2699,1
11001,老炮儿,剧情 / 犯罪,0.9923357664233576,1.0,0.2157,2
11232,高能少年团,真人秀,0.912962962962963,1.697761571963942,0.337,1
11166,奔跑吧,剧情 / 喜剧 / 战争,0.4725806451612903,0.7833190309591389,0.0961,8
10732,金星秀,脱口秀,0.627037037037037,0.9030800838469588,0.1333,3
11168,奔跑吧,剧情 / 喜剧 / 战争,0.5692652329749105,0.9435771338042113,0.1181,4
10572,异星觉醒,科幻 / 惊悚 / 恐怖,0.47339743589743594,0.8364717542120912,0.0861,2
10150,天天向上,脱口秀,0.4712962962962962,0.6747083775185576,0.0691,1
10045,楚乔传,剧情 / 爱情 / 古装,0.4896626984126983,0.7489619319771152,0.0991,56
10501,超级飞侠二,动画,0.9739926739926741,0.9972967043854251,0.3078,14
10779,小马宝莉中文版,喜剧 / 动画 / 冒险,0.9521657509157508,1.0036360026745326,0.2942,182
10687,星原小宝,动画 / 儿童 / 战争 / 冒险,0.9063888888888889,0.9854603503322117,0.2139,6
10202,百万金臂,喜剧 / 爱情 / 运动,0.5992283950617283,1.0,0.1303,4
10557,白鹿原,剧情 / 历史,0.6850793650793651,0.8938139954427475,0.1367,7
10501,神奇阿呦,动画,0.8156695156695157,0.9199889491287642,0.2189,39
10992,奔跑吧,剧情 / 喜剧 / 战争,0.46514336917562726,0.7709914845864412,0.0783,2
10732,人民的名义,剧情 / 悬疑 / 犯罪,0.15,0.20615577223541764,0.0067,1
10027,变形金刚3,动作 / 科幻,0.16764069264069265,0.36095712323390894,0.0132,2
10501,贝肯熊,喜剧 / 动画,1.0,1.0,0.5204,4
10160,楚乔传,剧情 / 爱情 / 古装,0.4806814814814813,0.7352247418539659,0.0814,25
10501,猪猪侠之拼装特工队,动画 / 儿童 / 冒险,0.7151851851851853,0.8620535714285715,0.2263,3
10526,霍比特人,动画 / 家庭 / 奇幻,0.11515151515151516,0.16649141254819488,0.0042,1
10149,三生三世十里桃花,剧情 / 爱情,0.8141750841750841,1.18571194548555,0.327,11
11001,白鹿原,剧情 / 历史,0.6808024691358026,0.8882339858171975,0.1396,6
10272,奔跑吧,剧情 / 喜剧 / 战争,0.6924219150025602,1.1477136633252547,0.1765,7
11145,时代,生活,1.0,1.2504007694773975,0.2718,1
10732,城寨英雄,剧情 / 动作,0.7878008975928192,1.1482575742414323,0.2095,19
10480,擒狼,剧情 / 动作 / 战争 / 西部,0.3618518518518518,0.45775060322814903,0.036,1
11145,花儿与少年 第三季,真人秀,0.4916666666666668,0.9429941395844433,0.1008,1
11250,楚乔传,剧情 / 爱情 / 古装,0.7595061728395063,1.1617001098968538,0.2029,9
11309,我们相爱吧之爱有天意,真人秀,0.6384027777777778,1.1139964759902272,0.228,6
11001,钢铁侠,动作 / 科幻 / 惊悚 / 冒险,0.9330687830687829,1.2844136926438456,0.794,2
10452,夏至未至,剧情 / 爱情,0.8914285714285715,1.36163976513977,0.2639,7
10351,新葫芦兄弟,动画 / 儿童,0.9763333333333334,1.032007417709782,0.2542,20
10550,奔跑吧,剧情 / 喜剧 / 战争,0.5675627240143369,0.9407551653574491,0.1161,2
10109,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,1.0,1.2806492982768451,0.3059,7
10202,愤怒的小鸟,喜剧 / 动作 / 动画 / 家庭 / 冒险,0.4287037037037038,0.5690757128810228,0.053,2
10575,旅途的花样,真人秀,0.6400617283950617,1.2273229986203118,0.1708,3
10547,奔跑吧,剧情 / 喜剧 / 战争,1.0,1.6575351508350382,0.3603,1
10032,红色通道,剧情 / 战争,0.933125,1.2845670947388548,0.2606,2
10339,卡特教练,剧情 / 运动,0.3097303921568627,1.0157776884652925,0.0684,5
10550,超级飞侠二,动画,1.0,1.0239262891960175,0.6115,14
11092,闪电狗,喜剧 / 动画 / 家庭 / 冒险,0.7820023148148149,1.235350044795495,0.2125,3
10656,出关,剧情 / 悬疑 / 战争,0.7396874999999999,1.012975305944056,0.1919,20
10550,欢乐颂2,剧情 / 爱情,0.6814197530864198,0.8877423475835321,0.1326,18
10487,变形金刚2,动作 / 科幻,0.21677777777777782,0.5289484742913687,0.0249,2
10545,十二道锋味 第三季,真人秀,0.6768253968253967,1.0721069145601945,0.1599,14
11092,速度与激情6,动作 / 犯罪,1.0,1.5458970433945063,0.3361,2
10236,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.5940833333333333,0.7332480988234246,0.1007,10
10477,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.9414583333333334,1.1619961279923747,0.2502,6
10412,自然,纪录片 / 家庭,0.3338888888888888,0.5000507336079711,0.0363,1
10555,超级飞侠二,动画,0.9770833333333333,1.0004613117352754,0.2516,8
10119,奔跑吧,剧情 / 喜剧 / 战争,0.29964157706093186,0.4966664466301405,0.0324,2
10452,阿优,动画,1.0,1.005586592178771,0.2186,2
10202,碟中谍1,剧情 / 爱情,0.8718518518518518,1.2144036318613287,0.2302,2
10157,特种部队,动画,0.5755555555555555,0.8626144879267277,0.1091,9
10343,白鹿原,剧情 / 历史,0.9032098765432098,1.178405991520286,0.2626,27
11184,左轮手枪,剧情 / 战争,0.9348148148148149,1.4214204603155551,0.2889,1
11310,奥特银河大怪兽之战,动作 / 科幻 / 奇幻,0.628,0.8634280476626948,0.1179,1
11092,矮仔多情,喜剧 / 爱情,0.4158730158730158,0.9410074526353596,0.0851,2
11310,超级飞侠三,动画,0.919551282051282,1.0064216374101542,0.2012,4
10119,挑战的法则,真人秀,0.46339506172839506,0.880970343174236,0.0892,3
10202,变形金刚3,动作 / 科幻,0.5101010101010099,1.0983287545787543,0.1225,3
11021,三生三世十里桃花,剧情 / 爱情,0.8635339506172838,1.25759500687331,0.2499,24
10254,奔跑吧,剧情 / 喜剧 / 战争,0.5617383512544802,0.9311010627764206,0.1137,2
10193,贫民窟的百万富翁,剧情 / 爱情,0.9729166666666667,2.026909722222223,0.4287,2
10501,新葫芦兄弟,动画 / 儿童,0.68875,0.7280250347705146,0.1388,4
10478,特种部队,动画,1.0,1.4987510407993339,0.3258,1
10198,托马斯和他的朋友们 第十四季,动画 / 短片 / 儿童,0.18395061728395062,0.9507477567298105,0.038,1
10501,半斤八两,动画,0.899317738791423,0.9809015821366008,0.619,19
10424,我的一九九七,剧情,0.18407407407407406,0.25020080321285126,0.011,2
10413,熊出没之冬日乐翻天,喜剧 / 动画,0.9912121212121211,1.00250293712009,0.2705,11
10424,八方传奇,剧情,0.7277777777777781,1.0397844194022539,0.1766,20
11310,神兽金刚 第一季,动画,0.8041666666666667,0.8914549653579678,0.1558,4
10119,2017出彩中国人,真人秀,0.161,0.25347677774862243,0.0089,1
11234,太行英雄传,剧情 / 战争,0.5569259259259259,0.775937133736814,0.0946,10
11232,歌声的翅膀,音乐 / 儿童 / 真人秀,0.5547149122807018,1.2522277227722773,0.1647,4
10072,杀破狼,剧情 / 动作 / 犯罪,0.8333333333333334,1.3764377537212449,0.2521,1
11066,深夜食堂,剧情,0.8722222222222222,1.3389084058856477,0.2567,1
11146,旅途的花样,真人秀,0.18314814814814812,0.35118790017421786,0.0141,1
11232,奔跑吧,剧情 / 喜剧 / 战争,0.6790322580645162,1.1255198362928243,0.2144,4
10732,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.26083333333333325,0.32193386860952705,0.0185,1
10150,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.7506280193236714,0.961291246213798,0.1705,23
11168,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.6400595238095239,0.7899942695477513,0.136,28
10703,奔跑吧,剧情 / 喜剧 / 战争,0.435752688172043,0.7222753977160207,0.0695,4
10489,龙珠传奇,剧情 / 爱情 / 古装,0.6566359447004609,0.9006186291890799,0.1789,62
11274,夏至未至,剧情 / 爱情,0.7089753086419752,1.0829459630198859,0.1994,30
10684,挑战者联盟 第三季,真人秀,0.4024074074074074,0.7511407106973315,0.2032,3
10687,新葫芦兄弟,动画 / 儿童,1.0,1.0570236439499303,0.2323,1
11323,火影忍者,喜剧 / 动画 / 冒险,0.6256944444444446,0.8879763469119579,0.1221,1
10703,小花仙,动画 / 儿童 / 奇幻,0.9385683760683762,1.017029602102363,0.2514,12
11001,少年派的奇幻漂流,剧情 / 奇幻 / 冒险,0.2195538057742782,0.5121428571428571,0.0247,1
11184,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.7946296296296297,1.0176418775751745,0.1777,2
10359,人文地理,纪录片,0.49158333333333337,0.9256901962870367,0.1,4
10684,偷书贼,剧情 / 战争,0.9498727735368954,1.6230434782608694,0.3388,1
10992,豆腐味道,纪录片,0.5602564102564104,0.8780977896851976,0.1081,4
11001,愤怒的小鸟,喜剧 / 动作 / 动画 / 家庭 / 冒险,0.981111111111111,1.3023598820058997,0.2808,2
10641,快乐大本营,脱口秀,0.8044444444444444,1.2086526354509053,0.4007,4
10992,京剧猫,动画 / 儿童 / 奇幻 / 冒险,0.7083333333333333,0.7615684621060397,0.1186,1
10553,爱·回家之开心速递,剧情 / 喜剧 / 家庭,0.9350961538461539,1.0166102972082418,0.3808,26
10992,半斤八两,动画,1.0,1.090717484851146,0.2397,1
11184,出关,剧情 / 悬疑 / 战争,0.41541666666666677,0.568898115773116,0.0519,1
10150,人文地理,纪录片,0.6208965517241379,1.1691971876713916,1.1711,29
10413,笑声传奇,喜剧 / 真人秀,0.43001157407407414,0.8670163665781612,0.0929,16
10356,快乐大本营,脱口秀,0.5788888888888889,0.8697624628037594,0.1107,1
10641,奔跑吧,剧情 / 喜剧 / 战争,0.49256272401433693,0.8164400290448213,0.1291,4
10356,挑战者联盟 第三季,真人秀,0.3418518518518519,0.6381066506890354,0.0479,1
10359,非诚勿扰,喜剧 / 爱情,0.5622527472527473,1.1097093695777906,0.554,7
10975,俺爹是卧底,剧情,0.5525925925925926,0.706692610988786,0.0858,4
10280,龙珠传奇,剧情 / 爱情 / 古装,0.26857142857142857,0.36836306905143923,0.0217,1
10546,夏至未至,剧情 / 爱情,0.2850370370370371,0.43538851749530927,0.0829,5
10526,暗黑杀神,动作 / 惊悚 / 西部 / 冒险,0.347962962962963,0.7582728006456821,0.058,1
10489,糊涂县令郑板桥,剧情 / 古装,0.8467845117845116,1.0,0.2062,22
10329,神奇阿呦,动画,0.85,0.9587101046893702,0.1791,1
10526,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.8116402116402117,1.039426467490307,0.1854,7
10779,樱桃小丸子,喜剧,0.2651851851851852,0.5196061830232953,0.032,5
10421,潮拜武当,纪录片,0.8006439393939394,1.0,0.1881,11
11247,海绵宝宝,喜剧 / 动画 / 冒险,0.20483870967741935,0.4663191296464189,0.021,1
10202,变形金刚2,动作 / 科幻,0.5137777777777778,1.2536431292277233,0.8064,20
10546,巴黎假期,喜剧 / 爱情,0.5955357142857143,0.7716930196683379,0.101,1
10115,奔跑吧,剧情 / 喜剧 / 战争,1.0,1.6575351508350382,0.3643,1
11240,奔跑吧,剧情 / 喜剧 / 战争,1.0,1.6575351508350382,0.4333,2
10408,左轮手枪,剧情 / 战争,0.7132098765432099,1.084461965034728,0.1784,6
10413,玩具总动员1,喜剧 / 动画 / 家庭,0.4485596707818931,0.7165552755560427,0.0706,1
10236,爱的秘笈,剧情 / 爱情,0.6749458874458875,1.2115982385701334,0.1806,7
11265,暗黑杀神,动作 / 惊悚 / 西部 / 冒险,0.7722222222222223,1.6828087167070218,0.2856,1
10737,欢乐颂2,剧情 / 爱情,0.8011111111111111,1.0436742627900242,0.2147,10
10198,猫和老鼠,喜剧 / 动画 / 家庭,0.30388888888888893,0.6905539878211794,0.0461,1
10198,熊出没之春日对对碰,喜剧 / 动画 / 儿童 / 冒险,1.0,1.0076095512988716,0.2215,1
10413,熊出没之春日对对碰,喜剧 / 动画 / 儿童 / 冒险,1.0,1.0076095512988716,0.2568,8
10349,超级飞侠二,动画,1.0,1.0239262891960175,0.225,1
11168,小猪佩奇 第四季,剧情 / 动画 / 家庭 / 儿童,0.9902000000000001,0.9951129791739087,0.3074,50
10652,楚乔传,剧情 / 爱情 / 古装,0.6699564270152505,1.0247295976278825,0.1622,17
10266,我的一九九七,剧情,0.4646296296296296,0.6315430737032636,0.08,4
10585,爱·回家之开心速递,剧情 / 喜剧 / 家庭,1.0,1.0871719373743667,0.2389,1
11168,挑战者联盟 第三季,真人秀,0.2546913580246914,0.47541134719085604,0.0365,3
10566,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.9461458333333334,1.1677816807429453,0.2658,16
10957,楚乔传,剧情 / 爱情 / 古装,0.7321533161068045,1.1198626399608624,0.1903,43
11147,高能少年团,真人秀,0.8223148148148147,1.5291907221715788,0.2835,2
10526,出关,剧情 / 悬疑 / 战争,0.12125,0.16604749417249418,0.0044,1
11240,挑战者联盟 第三季,真人秀,0.14370370370370367,0.26823984882702673,0.0085,1
10547,守护丽人,剧情 / 爱情,0.1074074074074074,0.23128834355828223,0.0055,1
10703,贝肯熊,喜剧 / 动画,1.0,1.0,0.2811,6
11076,大军师司马懿之军师联盟,剧情 / 爱情 / 战争 / 古装,0.6988477366255144,0.8949788635118264,0.1526,18
11044,欢乐颂2,剧情 / 爱情,0.8577342047930285,1.1174418896968603,0.228,34
10992,擒狼,剧情 / 动作 / 战争 / 西部,0.9294444444444446,1.17576779815869,0.278,2
10182,星球大战,动作 / 科幻 / 冒险,0.36694214876033054,1.0,0.0815,2
10486,好先生,剧情 / 爱情,0.7185754985754985,1.1956785740222222,0.2082,13
10279,楚乔传,剧情 / 爱情 / 古装,0.31555555555555553,0.48265693772697627,0.0338,1
10291,太行英雄传,剧情 / 战争,0.7175661375661375,0.9997491338259602,0.1674,7
11232,快乐大本营,脱口秀,0.8787037037037038,1.3202248515687265,0.3889,14
10546,熊出没之冬日乐翻天,喜剧 / 动画,1.0,1.0113909179138787,0.3384,5
11234,名侦探柯南,动画 / 悬疑,1.0,1.2303868261612554,0.2734,1
11152,复合大师,喜剧 / 爱情,0.42370370370370386,0.5511614080406753,0.0519,1
11152,我想和你唱 第二季,音乐 / 真人秀,0.9442592592592592,1.6882149419769232,0.3542,1
10233,歌声的翅膀,音乐 / 儿童 / 真人秀,0.35359649122807013,0.7982178217821784,0.0627,5
10779,熊出没之秋日团团转,喜剧 / 动画,0.9611111111111109,0.9846760070052539,0.2474,3
11141,赌城群英会,剧情 / 动作 / 爱情 / 悬疑 / 犯罪,0.83625,1.0321426107017908,0.1941,5
11100,越狱 第一季,剧情 / 动作 / 惊悚 / 犯罪,0.7975907029478458,0.94748841584352,0.1723,14
11152,来吧冠军 第二季,运动 / 真人秀,0.6384895833333333,1.0029082637681346,0.1423,4
10736,楚乔传,剧情 / 爱情 / 古装,0.56,0.8565461148394227,0.1268,2
