设备号,喜爱频道,时间段,类型id,直播次数,直播天数,回看次数,回看天数,点播次数,点播天数,单片点播次数,单片点播天数,target,target_name,观看时间段,喜爱类型
11145,1,4,3,6,6,0,0,0,0,51,8,1,乐惠套餐,晚上,喜剧
11146,123,1,9,38,22,8,6,0,0,34,13,1,乐惠套餐,凌晨,家庭
11147,5,4,4,416,77,58,30,0,0,301,58,1,乐惠套餐,晚上,剧情
11168,106,4,4,673,72,7,7,0,0,248,45,1,乐惠套餐,晚上,剧情
11172,123,4,4,70,22,25,13,0,0,86,21,1,乐惠套餐,晚上,剧情
11195,5,4,2,85,39,30,19,0,0,56,18,1,乐惠套餐,晚上,真人秀
11196,123,4,12,116,42,95,25,0,0,59,9,1,乐惠套餐,晚上,爱情
11203,107,2,4,1328,75,1,1,0,0,31,16,1,乐惠套餐,上午,剧情
11215,3,4,4,317,43,0,0,10,6,10,6,2,融合套餐,晚上,剧情
11220,8,4,4,388,70,5,4,0,0,211,41,1,乐惠套餐,晚上,剧情
11229,5,4,1,32,18,2,1,0,0,95,21,1,乐惠套餐,晚上,动画
11234,10,4,4,153,53,50,27,2,2,256,55,2,融合套餐,晚上,剧情
11235,6,1,12,53,19,36,22,4,2,40,11,1,乐惠套餐,凌晨,爱情
11241,1,2,15,5,4,0,0,0,0,31,8,1,乐惠套餐,上午,科幻
11246,128,3,10,924,86,0,0,0,0,14,4,1,乐惠套餐,下午,冒险
11247,108,3,3,112,34,0,0,0,0,60,20,1,乐惠套餐,下午,喜剧
11248,5,4,4,206,79,18,11,1,1,4,4,1,乐惠套餐,晚上,剧情
11252,6,4,2,250,72,10,6,0,0,23,14,1,乐惠套餐,晚上,真人秀
11260,117,4,1,53,16,0,0,0,0,34,9,1,乐惠套餐,晚上,动画
11270,6,3,1,125,21,0,0,0,0,4,4,1,乐惠套餐,下午,动画
11274,105,4,4,219,64,1,1,0,0,150,33,1,乐惠套餐,晚上,剧情
11282,18,4,5,143,52,179,45,1,1,75,22,1,乐惠套餐,晚上,奇幻
11284,6,4,3,373,59,14,13,0,0,72,27,1,乐惠套餐,晚上,喜剧
11297,1,4,4,7,7,2,1,0,0,53,11,1,乐惠套餐,晚上,剧情
11323,3,4,3,322,71,0,0,0,0,1,1,2,融合套餐,晚上,喜剧
